customer_id,customer_name,segment,industry_subsector,country,acquisition_date,first_paid_invoice_date,acquisition_channel,acquisition_rep,original_arr_gbp
CUS-00096,Penwick Express GmbH,SMB,Last-mile,DE,2021-02-24,2021-05-09,Partner,M. Nakamura,6800.00
CUS-00097,Mossbank Freight SAS,SMB,3PL,FR,2023-11-23,2023-12-07,Referral,M. Nakamura,12000.00
CUS-00098,Vesper Transit SAS,Mid-market,Last-mile,FR,2021-09-01,2021-10-02,Inbound,E. Farouk,64400.00
CUS-00099,Cornerstone Transit Ltd,Enterprise,Warehousing,UK,2021-06-02,2021-06-29,Outbound,E. Farouk,307700.00
CUS-00100,Wexford Cargo Ltd,Enterprise,Warehousing,UK,2021-04-02,2021-04-23,Inbound,O. Petrova,286700.00
CUS-00101,Nettleton Logistics GmbH,Mid-market,Freight,DE,2022-12-10,2022-12-26,Partner,A. Bennett,70200.00
CUS-00102,Yardley Carriers GmbH,SMB,Warehousing,DE,2023-08-24,2023-10-21,Outbound,E. Farouk,8300.00
CUS-00103,Sterling Haulage Ltd,Enterprise,Last-mile,UK,2022-08-12,2022-11-09,Outbound,C. Doyle,299500.00
CUS-00104,Sunnymead Express GmbH,Mid-market,Warehousing,DE,2021-07-26,2021-10-04,Partner,A. Bennett,25700.00
CUS-00105,Ridgemont Distribution Ltd,SMB,3PL,UK,2021-09-02,2021-10-28,Outbound,E. Farouk,4800.00
CUS-00106,Wickham Lanes GmbH,Mid-market,Freight,DE,2023-11-03,2023-11-28,Referral,I. Jamison,74500.00
CUS-00107,Larkfield Lanes Ltd,SMB,Last-mile,UK,2023-08-19,2023-09-12,Outbound,K. Lindqvist,12800.00
CUS-00108,Saltmarsh Cargo GmbH,SMB,Freight,DE,2022-03-17,2022-03-26,Inbound,E. Farouk,14000.00
CUS-00109,Inglewood Transit Ltd,Mid-market,Last-mile,UK,2025-05-12,2025-06-25,Partner,C. Doyle,56300.00
CUS-00110,Riverside Transit Ltd,SMB,3PL,UK,2021-10-27,2022-01-17,Partner,G. Hartley,8200.00
CUS-00111,Sunnymead Haulage SAS,SMB,Freight,FR,2025-12-24,2026-01-03,Inbound,E. Farouk,6300.00
CUS-00112,Maple Cargo Ltd,Mid-market,Fleet management,UK,2022-03-03,2022-05-18,Referral,M. Nakamura,28300.00
CUS-00113,Ironclad Transit GmbH,Mid-market,Last-mile,DE,2023-08-01,2023-09-22,Referral,M. Nakamura,43200.00
CUS-00114,Cornerstone Logistics Ltd,Enterprise,Fleet management,UK,2025-01-26,2025-04-07,Inbound,M. Nakamura,87200.00
CUS-00115,Highland Distribution Ltd,Mid-market,Freight,UK,2024-02-06,2024-04-13,Referral,G. Hartley,63000.00
CUS-00116,Oakridge Cargo Ltd,SMB,Fleet management,UK,2021-11-02,2021-11-29,Inbound,M. Nakamura,12500.00
CUS-00117,Upton Carriers Ltd,Enterprise,Fleet management,UK,2021-12-11,2022-02-23,Inbound,I. Jamison,135900.00
CUS-00118,Thornbury Freight Ltd,SMB,Freight,UK,2024-04-23,2024-06-26,Inbound,E. Farouk,9900.00
CUS-00119,Whitestone Logistics SAS,Mid-market,3PL,FR,2021-04-09,2021-05-27,Referral,O. Petrova,59200.00
CUS-00120,Mossbank Express Ltd,SMB,Fleet management,UK,2024-12-26,2025-02-10,Partner,M. Nakamura,12900.00
CUS-00121,Oakridge Distribution Ltd,SMB,Fleet management,UK,2021-04-23,2021-06-13,Inbound,A. Bennett,8800.00
CUS-00122,Saltmarsh Carriers Ltd,SMB,3PL,UK,2021-05-14,2021-08-09,Outbound,O. Petrova,3100.00
CUS-00123,Nettleton Cargo Ltd,SMB,Fleet management,UK,2021-02-05,2021-03-30,Outbound,G. Hartley,5800.00
CUS-00124,Northwind Cargo GmbH,Mid-market,Fleet management,DE,2021-08-08,2021-10-06,Inbound,I. Jamison,60100.00
CUS-00125,Junction Carriers GmbH,Mid-market,Fleet management,DE,2025-08-26,2025-10-21,Referral,A. Bennett,21400.00
CUS-00126,Kestrel Freight GmbH,Mid-market,Warehousing,DE,2023-02-25,2023-04-12,Partner,A. Bennett,74400.00
CUS-00127,Cornerstone Freight Ltd,SMB,3PL,UK,2021-12-08,2022-01-07,Outbound,A. Bennett,5500.00
CUS-00128,Vesper Routes SAS,SMB,Fleet management,FR,2023-05-17,2023-07-01,Referral,A. Bennett,11800.00
CUS-00129,Vesper Express Ltd,Mid-market,3PL,UK,2021-08-01,2021-08-26,Outbound,O. Petrova,41500.00
CUS-00130,Granite Carriers Ltd,Mid-market,Last-mile,UK,2021-12-27,2021-12-31,Referral,O. Petrova,22800.00
CUS-00131,Pinegate Carriers BV,SMB,Last-mile,NL,2022-09-01,2022-11-23,Partner,E. Farouk,8800.00
CUS-00132,Wexford Logistics Ltd,Mid-market,Fleet management,UK,2022-08-04,2022-09-24,Outbound,M. Nakamura,70900.00
CUS-00133,Inglewood Freight Ltd,Mid-market,3PL,UK,2023-11-20,2024-02-02,Inbound,K. Lindqvist,39700.00
CUS-00134,Maple Carriers Ltd,SMB,3PL,UK,2021-02-14,2021-04-08,Referral,E. Farouk,5100.00
CUS-00135,Wickham Logistics Ltd,SMB,3PL,UK,2022-07-25,2022-08-26,Outbound,E. Farouk,12900.00
CUS-00136,Stonefield Logistics SAS,Enterprise,Warehousing,FR,2022-08-21,2022-10-09,Inbound,I. Jamison,140900.00
CUS-00137,Linwood Logistics Ltd,SMB,Last-mile,UK,2021-07-05,2021-08-11,Inbound,I. Jamison,5900.00
CUS-00138,Upton Freight Limited,Mid-market,3PL,IE,2025-11-14,2025-12-10,Outbound,M. Nakamura,17400.00
CUS-00139,Thornbury Carriers Ltd,Enterprise,3PL,UK,2025-09-29,2025-10-13,Outbound,K. Lindqvist,282800.00
CUS-00140,Wickham Cargo Ltd,SMB,Warehousing,UK,2022-08-26,2022-10-25,Partner,I. Jamison,5700.00
CUS-00141,Tideford Routes BV,SMB,Warehousing,NL,2023-04-04,2023-04-24,Referral,M. Nakamura,9400.00
CUS-00142,Brightwater Freight SAS,Enterprise,3PL,FR,2021-01-04,2021-02-18,Inbound,M. Nakamura,372800.00
CUS-00143,Brookfield Cargo Ltd,SMB,Freight,UK,2024-03-25,2024-06-01,Partner,O. Petrova,7400.00
CUS-00144,Cascade Logistics Ltd,Mid-market,3PL,UK,2021-04-13,2021-04-18,Inbound,C. Doyle,21700.00
CUS-00145,Pinegate Haulage Ltd,Mid-market,3PL,UK,2022-03-09,2022-04-15,Referral,O. Petrova,15600.00
CUS-00146,Upton Cargo Ltd,SMB,Warehousing,UK,2024-02-17,2024-04-18,Partner,K. Lindqvist,7800.00
CUS-00147,Kestrel Routes Ltd,SMB,Warehousing,UK,2021-04-05,2021-06-29,Outbound,I. Jamison,3800.00
CUS-00148,Inglewood Carriers Ltd,Enterprise,3PL,UK,2021-05-03,2021-07-03,Partner,K. Lindqvist,88200.00
CUS-00149,Cornerstone Routes GmbH,SMB,3PL,DE,2021-09-02,2021-11-22,Inbound,E. Farouk,3000.00
CUS-00150,Whitestone Express Ltd,Enterprise,3PL,UK,2021-06-14,2021-08-30,Outbound,E. Farouk,394400.00
CUS-00151,Cornerstone Express Ltd,Enterprise,Warehousing,UK,2023-09-30,2023-12-12,Partner,K. Lindqvist,289300.00
CUS-00152,Linden Carriers Ltd,SMB,3PL,UK,2025-03-14,2025-04-28,Outbound,C. Doyle,13500.00
CUS-00153,Mossbank Logistics Ltd,Mid-market,3PL,UK,2024-08-22,2024-09-03,Outbound,C. Doyle,41100.00
CUS-00154,Maple Routes Ltd,SMB,Fleet management,UK,2025-07-10,2025-07-12,Outbound,O. Petrova,7700.00
CUS-00155,Maple Lanes Ltd,SMB,Freight,UK,2023-07-29,2023-08-03,Partner,K. Lindqvist,6700.00
CUS-00156,Riverside Lanes BV,SMB,Last-mile,NL,2021-03-16,2021-03-23,Inbound,I. Jamison,4600.00
CUS-00157,Greycliff Cargo Ltd,Mid-market,Freight,UK,2023-10-08,2023-11-20,Inbound,O. Petrova,51900.00
CUS-00158,Hartwood Distribution Ltd,SMB,Fleet management,UK,2021-12-07,2022-01-08,Partner,G. Hartley,5600.00
CUS-00159,Zephyr Haulage Ltd,Enterprise,Last-mile,UK,2024-07-20,2024-10-08,Partner,C. Doyle,290100.00
CUS-00160,Greycliff Express Ltd,SMB,3PL,UK,2021-05-14,2021-07-27,Inbound,A. Bennett,7900.00
CUS-00161,Mossbank Carriers Ltd,SMB,Fleet management,UK,2021-02-03,2021-04-20,Inbound,O. Petrova,6400.00
CUS-00162,Wexford Carriers Ltd,SMB,3PL,UK,2022-09-29,2022-11-17,Inbound,E. Farouk,14500.00
CUS-00163,Thornbury Logistics Ltd,Mid-market,Warehousing,UK,2023-11-04,2023-11-14,Inbound,O. Petrova,65600.00
CUS-00164,Nettleton Carriers GmbH,SMB,Fleet management,DE,2023-12-06,2024-01-02,Outbound,K. Lindqvist,11400.00
CUS-00165,Beacon Transit BV,Enterprise,Warehousing,NL,2023-06-28,2023-07-29,Partner,A. Bennett,399800.00
CUS-00166,Brookfield Freight Ltd,Mid-market,Fleet management,UK,2024-07-05,2024-08-14,Partner,K. Lindqvist,55800.00
CUS-00167,Upton Lanes Ltd,Mid-market,Fleet management,UK,2021-10-29,2021-11-13,Outbound,M. Nakamura,51600.00
CUS-00168,Westmoor Haulage GmbH,SMB,Warehousing,DE,2022-07-02,2022-09-07,Outbound,E. Farouk,4400.00
CUS-00169,Cascade Distribution SAS,Mid-market,Last-mile,FR,2021-07-25,2021-09-10,Partner,E. Farouk,79300.00
CUS-00170,Birchwood Express Ltd,Mid-market,Freight,UK,2021-03-16,2021-05-10,Outbound,C. Doyle,75400.00
CUS-00171,Maple Haulage Ltd,Enterprise,3PL,UK,2021-02-09,2021-04-13,Referral,O. Petrova,322600.00
CUS-00172,Linwood Carriers Ltd,Mid-market,Fleet management,UK,2021-04-20,2021-06-17,Outbound,C. Doyle,22200.00
CUS-00173,Sterling Carriers Ltd,Mid-market,3PL,UK,2025-11-23,2026-02-20,Inbound,A. Bennett,39700.00
CUS-00174,Caldwell Distribution SAS,Mid-market,Warehousing,FR,2022-05-10,2022-07-10,Partner,O. Petrova,19200.00
CUS-00175,Stonefield Transit SAS,Enterprise,3PL,FR,2024-03-08,2024-05-22,Inbound,M. Nakamura,322400.00
CUS-00176,Brookfield Logistics Ltd,Enterprise,Warehousing,UK,2021-12-25,2022-01-04,Partner,K. Lindqvist,186400.00
CUS-00177,Birchwood Cargo Ltd,Mid-market,3PL,UK,2021-10-29,2022-01-25,Inbound,M. Nakamura,31900.00
CUS-00178,Westmoor Freight SAS,SMB,Freight,FR,2021-04-09,2021-04-26,Inbound,E. Farouk,7900.00
CUS-00179,Linwood Distribution Ltd,SMB,Freight,UK,2022-05-24,2022-06-11,Referral,A. Bennett,11300.00
CUS-00180,Foxgrove Express Ltd,Enterprise,Freight,UK,2023-07-03,2023-09-27,Inbound,G. Hartley,231600.00
CUS-00181,Junction Haulage Limited,SMB,Freight,IE,2022-03-23,2022-05-16,Partner,A. Bennett,6900.00
CUS-00182,Brightwater Transit Ltd,Mid-market,Freight,UK,2022-10-26,2023-01-15,Inbound,I. Jamison,18800.00
CUS-00183,Redwood Logistics Ltd,Enterprise,Freight,UK,2022-09-28,2022-10-23,Outbound,A. Bennett,116800.00
CUS-00184,Pinegate Transit Ltd,SMB,Warehousing,UK,2021-10-05,2021-10-10,Partner,M. Nakamura,14600.00
CUS-00185,Upton Express Ltd,SMB,Fleet management,UK,2021-01-26,2021-01-29,Outbound,I. Jamison,5200.00
CUS-00186,Zephyr Logistics Limited,Mid-market,3PL,IE,2022-05-27,2022-06-24,Inbound,I. Jamison,26000.00
CUS-00187,Quayside Haulage Ltd,Mid-market,Freight,UK,2022-12-20,2023-02-16,Inbound,O. Petrova,62900.00
CUS-00188,Yardley Routes BV,SMB,Warehousing,NL,2021-05-20,2021-06-05,Inbound,O. Petrova,8100.00
CUS-00189,Penwick Transit GmbH,Mid-market,Warehousing,DE,2021-05-05,2021-06-16,Inbound,I. Jamison,19600.00
CUS-00190,Brightwater Cargo SAS,Mid-market,Warehousing,FR,2021-10-10,2021-12-28,Partner,G. Hartley,72400.00
CUS-00191,Caldwell Lanes Ltd,SMB,Fleet management,UK,2024-09-25,2024-11-29,Referral,O. Petrova,12600.00
CUS-00192,Saltmarsh Express GmbH,SMB,3PL,DE,2021-07-06,2021-08-08,Referral,A. Bennett,15000.00
CUS-00193,Marston Haulage SAS,SMB,Fleet management,FR,2021-02-11,2021-02-18,Partner,M. Nakamura,13900.00
CUS-00194,Brightwater Haulage Ltd,SMB,Last-mile,UK,2021-01-24,2021-02-05,Partner,A. Bennett,9800.00
CUS-00195,Ashford Routes Ltd,SMB,Warehousing,UK,2021-05-08,2021-05-15,Partner,G. Hartley,7200.00
CUS-00196,Pinegate Logistics BV,Mid-market,Last-mile,NL,2022-06-25,2022-08-28,Inbound,E. Farouk,44500.00
CUS-00197,Upton Logistics GmbH,SMB,Freight,DE,2025-09-23,2025-11-04,Referral,C. Doyle,10400.00
CUS-00198,Wickham Haulage Ltd,SMB,Freight,UK,2022-03-31,2022-05-08,Partner,M. Nakamura,9000.00
CUS-00199,Quayside Cargo Ltd,SMB,Fleet management,UK,2021-04-19,2021-07-08,Outbound,O. Petrova,7900.00
CUS-00200,Orchard Logistics Ltd,Mid-market,3PL,UK,2022-04-21,2022-06-18,Inbound,M. Nakamura,46300.00
CUS-00201,Hartwood Haulage SAS,SMB,Last-mile,FR,2021-11-14,2022-02-05,Outbound,A. Bennett,6200.00
CUS-00202,Hartwood Express Ltd,Enterprise,3PL,UK,2021-08-04,2021-10-30,Outbound,C. Doyle,113000.00
CUS-00203,Stonefield Distribution Ltd,Mid-market,Fleet management,UK,2021-05-19,2021-08-12,Referral,K. Lindqvist,67700.00
CUS-00204,Penwick Carriers SAS,SMB,Freight,FR,2024-12-20,2025-03-15,Outbound,K. Lindqvist,11100.00
CUS-00205,Maple Freight Ltd,Enterprise,3PL,UK,2021-03-20,2021-05-02,Outbound,O. Petrova,242900.00
CUS-00206,Kestrel Express SAS,Mid-market,3PL,FR,2022-09-13,2022-09-21,Referral,G. Hartley,45300.00
CUS-00207,Brightwater Distribution Ltd,Mid-market,Freight,UK,2021-07-30,2021-09-04,Inbound,K. Lindqvist,65200.00
CUS-00208,Cascade Freight Ltd,SMB,Last-mile,UK,2024-09-07,2024-11-19,Outbound,M. Nakamura,3900.00
CUS-00209,Mossbank Lanes Ltd,SMB,Freight,UK,2022-02-12,2022-03-19,Inbound,K. Lindqvist,11100.00
CUS-00210,Coppergate Routes Ltd,Mid-market,3PL,UK,2021-12-13,2022-01-09,Partner,E. Farouk,69900.00
CUS-00211,Wexford Express GmbH,SMB,Last-mile,DE,2021-01-09,2021-02-19,Referral,E. Farouk,4800.00
CUS-00212,Yardley Haulage GmbH,Mid-market,Last-mile,DE,2022-01-12,2022-02-23,Inbound,O. Petrova,31300.00
CUS-00213,Holloway Express Ltd,SMB,Freight,UK,2022-01-09,2022-04-03,Referral,E. Farouk,8800.00
CUS-00214,Zephyr Distribution SAS,SMB,3PL,FR,2021-05-17,2021-08-12,Inbound,K. Lindqvist,9200.00
CUS-00215,Cascade Express Ltd,SMB,Fleet management,UK,2021-03-16,2021-04-26,Referral,G. Hartley,10600.00
CUS-00216,Penwick Lanes SAS,Mid-market,3PL,FR,2025-08-22,2025-10-26,Partner,I. Jamison,65300.00
CUS-00217,Crestline Lanes Ltd,SMB,Warehousing,UK,2023-05-08,2023-07-01,Partner,I. Jamison,7500.00
